OBJECTID,Name of geographic unit,"# Housing units with a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography","# Housing units with a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Housing units without a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography","# Housing units without a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Owner-occupied housing units, costs as a percentage of income computed, 2010 -- 2020 geography","# Owner-occupied housing units, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Occupied units for which rent as a percentage of income can be computed, 2010 -- 2020 geography","# Occupied units for which rent as a percentage of income can be computed, 2010 -- 2020 geography (MOE)","# Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography","# Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography (MOE)","% Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography","% Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography (MOE)","# All occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography","# All occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography (MOE)","# Total households paying for housing (rent or owner costs), 2010 -- 2020 geography","# Total households paying for housing (rent or owner costs), 2010 -- 2020 geography (MOE)","% Occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography","% Occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography (MOE)","Change, # Housing units with a mortgage, costs as a percentage of income computed, 2010-21","Significance flag, change, # Housing units with a mortgage, costs as a percentage of income computed, 2010-21","Change, # Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Change, % Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Change, # Housing units without a mortgage, costs as a percentage of income computed, 2010-21","Significance flag, change, # Housing units without a mortgage, costs as a percentage of income computed, 2010-21","Change, # Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Change, % Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Change, # Owner-occupied housing units, costs as a percentage of income computed, 2010-21","Significance flag, change, # Owner-occupied housing units, costs as a percentage of income computed, 2010-21","Change, # Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Change, % Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Change, # Occupied units for which rent as a percentage of income can be computed, 2010-21","Significance flag, change, # Occupied units for which rent as a percentage of income can be computed, 2010-21","Change, # Gross rent 30.0 percent of income or greater, 2010-21","Significance flag, change, # Gross rent 30.0 percent of income or greater, 2010-21","Change, % Gross rent 30.0 percent of income or greater, 2010-21","Significance flag, change, % Gross rent 30.0 percent of income or greater, 2010-21","Change, # All occupied units for which costs exceed 30 percent of income, 2010-21","Significance flag, change, # All occupied units for which costs exceed 30 percent of income, 2010-21","Change, # Total households paying for housing (rent or owner costs), 2010-21","Significance flag, change, # Total households paying for housing (rent or owner costs), 2010-21","Change, % Occupied units for which costs exceed 30 percent of income, 2010-21","Significance flag, change, % Occupied units for which costs exceed 30 percent of income, 2010-21"
1,NSA A01,1058,197,380,124,35.9,9.7,360,236,57,145,16,38.9,1419,307,437,191,30.8,11.7,435,164,78,85,17.9,18.3,515,209,1853,348,27.8,10,-114,0,-182,1,-15,1,148,0,19,0,-0.9,0,34,0,-163,0,-12,0,-278,1,4,0,34.2,1,-160,0,-244,0,-5.7,0
2,NSA A02,752,175,251,98,33.4,10.5,322,232,80,142,24.7,40.2,1074,290,330,172,30.8,13.7,587,234,121,135,20.6,21.5,451,219,1661,373,27.2,11.7,79,0,97,0,8.5,0,26,0,-9,0,-4.5,0,105,0,87,0,4.7,0,227,0,192,1,17.8,0,279,0,332,0,9.5,0
3,NSA A03,696,172,254,105,36.6,12,212,204,31,164,14.5,76.1,908,267,285,195,31.4,19.3,388,176,172,119,44.2,23.1,457,228,1297,320,35.2,15.3,-42,0,-82,0,-10.1,0,109,0,-7,0,-7.2,0,67,0,-89,0,-11.3,0,62,0,-78,0,-23.5,0,-167,0,129,0,-14.9,0
4,NSA B01,802,193,372,144,46.4,14,482,305,132,223,27.4,42.8,1285,361,504,265,39.2,17.4,1295,263,550,158,42.5,8.6,1054,308,2580,447,40.9,9.6,-14,0,-226,1,-27.8,1,206,0,110,0,7.8,0,192,0,-116,0,-13,0,-295,0,-245,1,-11.9,0,-361,0,-103,0,-12.9,0
5,NSA B02,552,206,205,172,37.1,27.8,130,303,9,280,7.2,214.9,682,366,215,329,31.4,45.1,1045,252,376,139,36,10,590,357,1727,444,34.2,18.7,34,0,-135,0,-25.2,0,220,0,81,0,18.7,0,254,0,-54,0,-14.2,0,532,1,96,0,-6.1,0,42,0,786,1,-9,0
6,NSA B03,480,144,190,92,39.6,14.9,146,166,22,124,15.2,83.5,626,219,212,154,33.9,21.6,216,101,79,63,36.4,23.5,291,167,843,241,34.6,17.1,-36,0,-82,0,-15.3,0,64,0,-9,0,-8.9,0,28,0,-91,0,-15.4,0,72,0,-21,0,-16.2,0,-112,0,100,0,-15.5,0
7,NSA B04,2200,334,900,221,40.9,7.9,688,264,121,200,17.7,28.3,2888,426,1022,298,35.4,8.9,1153,268,491,191,42.6,13.3,1513,354,4041,503,37.4,7.4,323,0,-131,0,-10.4,0,255,0,144,0,10.5,0,578,0,12,0,-5.5,0,1436,1,596,1,-0.6,0,608,1,2014,1,-2.4,0
8,NSA B05,444,148,144,91,32.4,17.4,222,122,46,38,20.9,12.9,665,192,190,98,28.5,12.3,269,142,116,89,43.1,24,306,133,934,239,32.7,11.5,-70,0,-102,0,-21.3,0,78,0,-27,0,-14.3,0,8,0,-129,0,-19.5,1,-172,0,-76,0,-2.2,0,-205,1,-164,0,-19.7,1
9,NSA B06,616,182,287,131,46.6,16.3,237,212,67,120,28.2,43.9,853,279,354,178,41.5,15.8,704,200,259,121,36.7,13.6,612,215,1557,344,39.3,10.7,-81,0,-112,0,-13.8,0,184,0,-35,0,-20.6,0,103,0,-147,0,-19.8,0,951,1,562,1,12.8,0,415,1,1054,1,0,0
10,NSA B07,544,166,235,112,43.2,15.8,155,214,32,159,20.7,98.6,698,271,267,194,38.2,23.5,740,215,287,131,38.7,13.6,554,234,1438,346,38.5,13.4,3,0,-119,0,-22,0,78,0,9,0,-3,0,81,0,-110,0,-18.1,0,844,1,281,1,-2.9,0,171,0,925,1,-7.8,0
11,NSA B08,1714,396,706,234,41.2,9.8,414,379,71,255,17.1,59.6,2128,548,777,346,36.5,13.3,2412,389,1029,252,42.7,7.8,1806,428,4540,673,39.8,7.4,47,0,-141,0,-9.1,0,156,0,32,0,0.9,0,203,0,-109,0,-7.8,0,247,0,93,0,-0.5,0,-16,0,450,0,-3.9,0
12,NSA B09,696,180,256,107,36.8,12.2,164,239,14,200,8.6,121,861,299,271,227,31.4,24,908,243,352,145,38.7,12.1,622,269,1769,385,35.2,13.2,-46,0,17,0,5.2,0,258,0,271,0,59,0,212,0,288,0,20.7,0,-90,0,-29,0,0.7,0,260,0,122,0,11.5,0
13,NSA B10,936,202,267,106,28.5,9.5,321,213,34,175,10.5,54.2,1257,294,301,205,23.9,15.3,630,189,195,96,31,12,496,226,1887,350,26.3,10.9,188,0,0,0,-4.8,0,246,0,65,0,6.8,0,434,1,64,0,-2.4,0,38,0,44,0,4.8,0,108,0,472,0,-0.7,0
