OBJECTID,Name of geographic unit,"Median household income, 2010 -- 2020 geography","Median household income, 2010 -- 2020 geography (MOE)","Change, Median household income, 2010-21","Significance flag, change, Median household income, 2010-21"
1,Simpson/Hollowell,24879,3410,40420,1
2,Upper Marietta/Westside Park,22955,2402,10349,1
3,Upper Westside/Northside,51154,3604,28316,1
4,Pittsburgh/Peoplestown,26758,2608,11018,1
5,Boulevard Crossing,59750,5817,47851,1
6,Memorial Drive/ Glenwood,49956,2800,56625,1
7,Peachtree/Collier,69607,3159,11235,1
8,RDA/Cascade,22250,2353,11655,1
9,Freedom Parkway,60320,3448,46493,1
10,Virginia Highlands/Ansley,69854,3544,32959,1
